detected_at,issue,date,code,low_old,high_old,low_new,high_new
2026-09-10T06:14:13+00:00,1447,2026-08-31,2,243,247,248,252
2026-09-10T06:14:13+00:00,1447,2026-08-31,3,3,3,,
2026-09-10T06:14:13+00:00,1447,2026-08-31,4,230,233,235,238
2026-09-10T06:14:13+00:00,1447,2026-08-31,5,225,227,230,232
2026-09-10T06:14:13+00:00,1447,2026-08-31,7,335,336,339,340
2026-09-10T06:14:13+00:00,1447,2026-08-31,8,344,345,349,350
2026-09-10T06:14:13+00:00,1447,2026-08-31,10,236,238,243,245
2026-09-10T06:14:13+00:00,1447,2026-08-31,11,180,190,195,205
2026-09-10T06:14:13+00:00,1447,2026-08-31,13,258,260,268,270
2026-09-10T06:14:13+00:00,1447,2026-08-31,14,237,238,252,253
2026-09-10T06:14:13+00:00,1447,2026-08-31,15,263,265,273,275
2026-09-10T06:14:13+00:00,1447,2026-08-31,16,256,260,270,272
2026-09-10T06:14:13+00:00,1447,2026-08-31,19,200,203,205,208
2026-09-10T06:14:13+00:00,1447,2026-08-31,20,205,208,210,213
2026-09-10T06:14:13+00:00,1447,2026-08-31,21,220,225,225,230
2026-09-10T06:14:13+00:00,1447,2026-08-31,23,460,465,465,470
2026-09-10T06:14:13+00:00,1447,2026-08-31,24,445,450,450,455
2026-09-10T06:14:13+00:00,1447,2026-08-31,37,151,152,153,154
2026-09-10T06:14:13+00:00,1447,2026-08-31,38,151,152,153,154
2026-09-10T06:14:13+00:00,1447,2026-08-31,39,400,402,405,407
2026-09-10T06:14:13+00:00,1447,2026-08-31,41,760,770,770,780
2026-09-10T06:14:13+00:00,1447,2026-08-31,42,208,210,213,215
2026-09-10T06:14:13+00:00,1447,2026-08-31,47,295,298,302,305
2026-09-10T06:14:13+00:00,1447,2026-08-31,51,350,410,,
2026-09-10T06:14:13+00:00,1447,2026-08-31,63,145,155,150,160
2026-09-10T06:14:13+00:00,1447,2026-08-31,65,180,190,185,195
2026-09-10T06:14:13+00:00,1447,2026-08-31,67,210,220,215,225
2026-09-10T06:14:13+00:00,1447,2026-08-31,71,100,105,105,110
2026-09-10T06:14:13+00:00,1447,2026-08-31,75,472,475,495,498
2026-09-10T06:14:13+00:00,1447,2026-08-31,77,492,499,515,522
2026-09-10T06:14:13+00:00,1447,2026-08-31,86,1420,1425,1440,1445
2026-09-10T06:14:13+00:00,1447,2026-08-31,87,1135,1140,1215,1220
2026-09-10T06:14:13+00:00,1447,2026-08-31,88,1085,1090,1165,1170
2026-09-10T06:14:13+00:00,1447,2026-08-31,89,1790,1800,1830,1840
2026-09-10T06:14:13+00:00,1447,2026-08-31,94,1315,1320,1395,1400
2026-09-10T06:14:13+00:00,1447,2026-08-31,95,1255,1260,1335,1340
2026-09-10T06:14:13+00:00,1447,2026-08-31,103,6.8,8.75,6.75,8.7
2026-09-10T06:14:13+00:00,1447,2026-08-31,104,3.7,4.1,3.6,4
2026-09-10T06:14:13+00:00,1447,2026-08-31,105,3.8,4.4,3.75,4.35
2026-09-10T06:14:13+00:00,1447,2026-08-31,106,3.5,3.6,3.45,3.55
2026-09-10T06:14:13+00:00,1447,2026-08-31,111,300,305,310,315
2026-09-10T06:14:13+00:00,1447,2026-08-31,114,290,292,295,297
2026-09-10T06:14:13+00:00,1447,2026-08-31,117,481,483,508,510
2026-09-10T06:14:13+00:00,1447,2026-08-31,118,391,393,413,415
2026-09-10T06:14:13+00:00,1447,2026-08-31,121,530,532,557,559
2026-09-10T06:14:13+00:00,1447,2026-08-31,122,402,403,424,425
2026-09-10T06:14:13+00:00,1447,2026-08-31,124,382,395,413,422
2026-09-10T06:14:13+00:00,1447,2026-08-31,131,2830,2860,2880,2910
2026-09-10T06:14:13+00:00,1447,2026-08-31,132,610,620,910,920
2026-09-10T06:14:13+00:00,1447,2026-08-31,133,585,590,885,890
2026-09-10T06:14:13+00:00,1447,2026-08-31,134,700,720,900,920
2026-09-10T06:14:13+00:00,1447,2026-08-31,177,28,29,29,30
2026-09-10T06:14:13+00:00,1447,2026-08-31,187,460,480,470,490
2026-09-10T06:14:13+00:00,1447,2026-08-31,188,460,480,480,500
2026-09-10T06:14:13+00:00,1447,2026-08-31,189,330,345,335,350
2026-09-10T06:14:13+00:00,1447,2026-08-31,335,3.8,3.85,3.85,3.9
2026-09-10T06:14:13+00:00,1447,2026-08-31,351,3.35,3.65,3.4,3.7
2026-09-10T06:14:13+00:00,1447,2026-08-31,358,5.9,6.2,6,6.3
2026-09-10T06:14:13+00:00,1447,2026-08-31,363,8,8.4,8.1,8.5
2026-09-10T06:14:13+00:00,1447,2026-08-31,372,6.05,6.35,6.15,6.45
2026-09-10T06:14:13+00:00,1447,2026-08-31,627,0.5,60,0.5,0.6
2026-09-10T06:14:13+00:00,1447,2026-08-31,641,,,0.25,0.3
2026-09-10T06:14:13+00:00,1447,2026-08-31,643,,,0.23,0.27
2026-09-10T06:14:13+00:00,1447,2026-08-31,672,,,295,300
2026-09-10T06:14:13+00:00,1447,2026-08-31,674,1.47,1.51,1.5,1.54
2026-09-10T06:14:13+00:00,1447,2026-08-31,802,2100,2200,2200,2300
2026-09-10T06:14:13+00:00,1447,2026-08-31,803,2000,2100,2100,2200
2026-09-10T06:14:13+00:00,1447,2026-08-31,836,7.05,7.35,7.15,7.45
2026-09-10T06:14:13+00:00,1447,2026-08-31,938,237,240,242,245
2026-09-10T06:14:13+00:00,1447,2026-08-31,994,416,418,438,440
2026-09-10T06:14:13+00:00,1447,2026-08-31,1011,267,270,277,280
2026-09-10T06:14:13+00:00,1447,2026-08-31,1080,0.74,0.8,,0.8
2026-09-10T06:14:13+00:00,1447,2026-08-31,1081,0.9,1,,1
2026-09-10T06:14:13+00:00,1447,2026-08-31,1082,0.7,0.8,,0.8
2026-09-10T06:14:13+00:00,1447,2026-08-31,1083,1.15,1.25,,
2026-09-10T06:14:13+00:00,1447,2026-08-31,1091,1.2,1.4,0.95,1.35
2026-09-10T06:14:13+00:00,1447,2026-08-31,1092,1.2,1.5,0.95,1.45
2026-09-10T06:14:13+00:00,1448,2026-09-07,623,,,0.4,0.5
2026-09-10T06:14:13+00:00,1448,2026-09-07,624,,,0.4,0.5
2026-09-10T06:14:13+00:00,1448,2026-09-07,627,0.5,60,0.5,0.6
2026-09-10T06:14:13+00:00,1448,2026-09-07,630,,,0.4,0.45
2026-09-10T06:14:13+00:00,1448,2026-09-07,631,,,0.55,0.65
2026-09-10T06:14:13+00:00,1448,2026-09-07,640,,,0.4,0.45
2026-09-10T06:14:13+00:00,1448,2026-09-07,642,,,0.25,0.3
2026-09-10T06:14:13+00:00,1448,2026-09-07,722,,,0.3,0.42
2026-09-10T06:14:13+00:00,1448,2026-09-07,724,,,0.3,0.42
2026-09-10T06:14:13+00:00,1448,2026-09-07,1114,,,0.3,0.42
2026-09-10T06:14:13+00:00,1448,2026-09-07,1134,,,1.08,1.15
2026-09-14T21:36:24+00:00,1451,2026-09-14,2,256,260,261,265
2026-09-14T21:36:24+00:00,1451,2026-09-14,4,240,243,243,246
2026-09-14T21:36:24+00:00,1451,2026-09-14,5,235,237,238,240
2026-09-14T21:36:24+00:00,1451,2026-09-14,10,243,245,245,248
2026-09-14T21:36:24+00:00,1451,2026-09-14,11,195,205,,
2026-09-14T21:36:24+00:00,1451,2026-09-14,13,273,275,278,280
2026-09-14T21:36:24+00:00,1451,2026-09-14,14,257,258,260,261
2026-09-14T21:36:24+00:00,1451,2026-09-14,19,210,213,215,218
2026-09-14T21:36:24+00:00,1451,2026-09-14,20,215,218,220,223
2026-09-14T21:36:24+00:00,1451,2026-09-14,21,233,238,235,240
2026-09-14T21:36:24+00:00,1451,2026-09-14,23,475,480,485,490
2026-09-14T21:36:24+00:00,1451,2026-09-14,24,460,465,470,475
2026-09-14T21:36:24+00:00,1451,2026-09-14,25,403,407,413,417
2026-09-14T21:36:24+00:00,1451,2026-09-14,26,399,402,409,412
2026-09-14T21:36:24+00:00,1451,2026-09-14,27,765,780,775,790
2026-09-14T21:36:24+00:00,1451,2026-09-14,28,765,780,775,790
2026-09-14T21:36:24+00:00,1451,2026-09-14,29,765,780,775,790
2026-09-14T21:36:24+00:00,1451,2026-09-14,39,410,412,413,415
2026-09-14T21:36:24+00:00,1451,2026-09-14,42,218,220,215,220
2026-09-14T21:36:24+00:00,1451,2026-09-14,63,155,165,160,170
2026-09-14T21:36:24+00:00,1451,2026-09-14,78,515,520,525,530
2026-09-14T21:36:24+00:00,1451,2026-09-14,80,520,525,535,540
2026-09-14T21:36:24+00:00,1451,2026-09-14,81,360,395,365,400
2026-09-14T21:36:24+00:00,1451,2026-09-14,87,1190,1195,1205,1210
2026-09-14T21:36:24+00:00,1451,2026-09-14,88,1140,1145,1155,1160
2026-09-14T21:36:24+00:00,1451,2026-09-14,89,1815,1825,1825,1835
2026-09-14T21:36:24+00:00,1451,2026-09-14,94,1370,1375,1385,1390
2026-09-14T21:36:24+00:00,1451,2026-09-14,95,1310,1315,1325,1330
2026-09-14T21:36:24+00:00,1451,2026-09-14,101,17,18,,
2026-09-14T21:36:24+00:00,1451,2026-09-14,102,18,19,,
2026-09-14T21:36:24+00:00,1451,2026-09-14,103,6.65,8.6,6.6,8.55
2026-09-14T21:36:24+00:00,1451,2026-09-14,104,3.55,3.95,3.5,3.9
2026-09-14T21:36:24+00:00,1451,2026-09-14,105,3.75,4.35,3.7,4.3
2026-09-14T21:36:24+00:00,1451,2026-09-14,111,315,320,320,325
2026-09-14T21:36:24+00:00,1451,2026-09-14,114,297,299,300,302
2026-09-14T21:36:24+00:00,1451,2026-09-14,124,423,426,424,430
2026-09-14T21:36:24+00:00,1451,2026-09-14,132,1060,1070,1075,1085
2026-09-14T21:36:24+00:00,1451,2026-09-14,133,1035,1040,1050,1055
2026-09-14T21:36:24+00:00,1451,2026-09-14,134,1050,1070,1065,1085
2026-09-14T21:36:24+00:00,1451,2026-09-14,187,450,490,450,480
2026-09-14T21:36:24+00:00,1451,2026-09-14,189,320,340,310,330
2026-09-14T21:36:24+00:00,1451,2026-09-14,341,3.85,3.89,3.9,3.94
2026-09-14T21:36:24+00:00,1451,2026-09-14,342,3.9,3.94,3.95,3.99
2026-09-14T21:36:24+00:00,1451,2026-09-14,344,23.1,23.1,23.2,23.2
2026-09-14T21:36:24+00:00,1451,2026-09-14,345,21.3,21.3,21.4,21.4
2026-09-14T21:36:24+00:00,1451,2026-09-14,346,19.9,19.9,20,20
2026-09-14T21:36:24+00:00,1451,2026-09-14,347,17.9,17.9,18,18
2026-09-14T21:36:24+00:00,1451,2026-09-14,351,3.45,3.75,3.5,3.8
2026-09-14T21:36:24+00:00,1451,2026-09-14,352,5.9,6.1,6,6.2
2026-09-14T21:36:24+00:00,1451,2026-09-14,353,6.5,6.7,6.6,6.8
2026-09-14T21:36:24+00:00,1451,2026-09-14,364,3,3.3,3.05,3.35
2026-09-14T21:36:24+00:00,1451,2026-09-14,372,6.35,6.65,6.55,6.85
2026-09-14T21:36:24+00:00,1451,2026-09-14,635,1.5,1.65,1.55,1.65
2026-09-14T21:36:24+00:00,1451,2026-09-14,672,300,305,305,310
2026-09-14T21:36:24+00:00,1451,2026-09-14,674,1.53,1.57,1.55,1.59
2026-09-14T21:36:24+00:00,1451,2026-09-14,676,3.45,3.75,3.5,3.8
2026-09-14T21:36:24+00:00,1451,2026-09-14,716,25.4,25.4,25.5,25.5
2026-09-14T21:36:24+00:00,1451,2026-09-14,717,23.6,23.6,23.7,23.7
2026-09-14T21:36:24+00:00,1451,2026-09-14,718,22.4,22.4,22.5,22.5
2026-09-14T21:36:24+00:00,1451,2026-09-14,719,19.4,19.4,19.5,19.5
2026-09-14T21:36:24+00:00,1451,2026-09-14,727,,,175,180
2026-09-14T21:36:24+00:00,1451,2026-09-14,835,6.5,6.7,6.6,6.8
2026-09-14T21:36:24+00:00,1451,2026-09-14,936,660,700,650,690
2026-09-14T21:36:24+00:00,1451,2026-09-14,938,250,253,255,258
2026-09-14T21:36:24+00:00,1451,2026-09-14,1001,460,500,470,490
2026-09-14T21:36:24+00:00,1451,2026-09-14,1007,42,47,,
2026-09-14T21:36:24+00:00,1451,2026-09-14,1011,285,288,290,293
